iter	Passed	Remaining
0	164	164502
1	351	175270
2	455	151347
3	607	151266
4	762	151653
5	909	150595
6	1041	147729
7	1215	150710
8	1339	147490
9	1518	150326
10	1659	149161
11	1799	148122
12	1882	142948
13	2022	142435
14	2170	142504
15	2307	141893
16	2380	137648
17	2487	135709
18	2608	134680
19	2711	132865
20	2790	130101
21	2892	128575
22	2984	126790
23	3120	126902224	3273	127669225	3381	126684226	3457	124613227	3620	125682228	3717	124468229	3816	123408330	3933	122949331	4084	123556332	4216	123546
33	4353	123700
34	4493	123885
35	4654	124625
36	4751	123663337	4907	124228
38	5020	123700
39	5208	124999
40	5400	126310
41	5558	126791
42	5713	127166
43	5853	127191
44	5991	127150
45	6085	126211
46	6232	126366
47	6319	125329
48	6417	124558
49	6546	124377
50	6743	125483
51	6957	126838
52	7061	126178
53	7206	126249
54	7324	125846
55	7421	125099
56	7582	125441
57	7702	125104
58	7756	123701
59	7854	123053
60	7902	121653
61	8021	121357
62	8168	121491
63	8272	120988
64	8364	120321
65	8472	119905
66	8580	119483
67	8675	118904
68	8766	118290
69	8877	117940
70	8965	117303
71	9063	116822
72	9162	116347
73	9249	115749
74	9364	115498
75	9439	114764
76	9564	114655
77	9653	114104
78	9763	113830
79	9857	113359
80	9902	112349
81	9935	111224
82	9965	110106
83	9990	108942
84	10031	107990
85	10055	106870
86	10089	105879
87	10132	105005
88	10152	103921
89	10177	102900
90	10201	101902
91	10226	100933
92	10254	100007
93	10274	99028
94	10302	98140
95	10324	97217
96	10394	96767
97	10475	96413
98	10602	96490
99	10731	96587
100	10837	96467
101	10928	96212
102	11034	96095
103	11087	95524
104	11186	95348
105	11266	95021
106	11367	94874
107	11476	94783
108	11518	94156
109	11593	93805
110	11675	93507
111	11760	93240
112	11826	92829
113	11909	92563
114	11997	92326
115	12073	92009
116	12159	91770
117	12242	91510
118	12307	91119
119	12393	90886
120	12474	90617
121	12554	90352
122	12636	90097
123	12698	89706
124	12773	89417
125	12882	89356
126	12956	89063
127	13026	88746
128	13106	88497
129	13170	88143
130	13237	87809
131	13311	87532
132	13376	87199
133	13454	86953
134	13526	86668
135	13590	86339
136	13647	85966
137	13739	85821
138	13817	85589
139	13886	85301
140	13956	85023
141	14024	84739
142	14109	84555
143	14190	84355
144	14267	84128
145	14326	83802
146	14383	83465
147	14439	83124
148	14522	82942
149	14568	82557
150	14628	82250
151	14694	81981
152	14745	81629
153	14807	81343
154	14860	81014
155	14886	80538
156	14921	80118
157	14955	79700
158	14992	79298
159	15031	78912
160	15071	78538
161	15102	78121
162	15138	77737
163	15173	77347
164	15204	76945
165	15245	76596
166	15277	76202
167	15331	75929
168	15399	75721
169	15450	75435
170	15505	75170
171	15570	74954
172	15621	74678
173	15661	74347
174	15698	74008
175	15728	73639
176	15789	73414
177	15838	73143
178	15868	72781
179	15902	72446
180	15938	72120
181	15978	71814
182	16014	71497
183	16057	71211
184	16094	70900
185	16132	70601
186	16169	70296
187	16208	70007
188	16245	69710
189	16278	69395
190	16308	69076
191	16342	68776
192	16379	68487
193	16406	68165
194	16439	67864
195	16481	67607
196	16512	67306
197	16545	67019
198	16576	66722
199	16605	66422
200	16625	66088
201	16654	65795
202	16687	65516
203	16708	65195
204	16732	64890
205	16758	64594
206	16787	64312
207	16810	64009
208	16861	63814
209	16905	63595
210	16936	63329
211	16965	63061
212	16989	62772
213	17020	62515
214	17050	62253
215	17080	61997
216	17109	61736
217	17138	61478
218	17177	61260
219	17204	60998
220	17238	60763
221	17275	60543
222	17307	60304
223	17346	60092
224	17386	59888
225	17419	59658
226	17455	59441
227	17486	59208
228	17516	58975
229	17552	58761
230	17592	58564
231	17621	58332
232	17654	58115
233	17687	57900
234	17714	57665
235	17742	57438
236	17774	57223
237	17806	57009
238	17837	56795
239	17863	56567
240	17890	56345
241	17921	56134
242	17945	55904
243	17971	55681
244	18002	55476
245	18029	55261
246	18057	55048
247	18091	54858
248	18118	54647
249	18144	54433
250	18167	54213
251	18193	54004
252	18219	53794
253	18244	53585
254	18269	53374
255	18293	53166
256	18321	52968
257	18351	52777
258	18376	52576
259	18408	52394
260	18431	52186
261	18458	51992
262	18486	51804
263	18512	51610
264	18544	51435
265	18576	51259
266	18604	51074
267	18629	50883
268	18656	50699
269	18688	50527
270	18714	50341
271	18743	50167
272	18774	49996
273	18800	49815
274	18826	49632
275	18852	49454
276	18879	49276
277	18910	49112
278	18934	48930
279	18961	48757
280	18994	48602
281	19022	48433
282	19049	48262
283	19078	48098
284	19107	47936
285	19133	47767
286	19158	47595
287	19186	47432
288	19211	47264
289	19244	47116
290	19266	46940
291	19292	46776
292	19319	46618
293	19345	46454
294	19369	46289
295	19389	46115
296	19416	45958
297	19442	45801
298	19466	45639
299	19506	45515
300	19533	45361
301	19562	45214
302	19596	45079
303	19623	44928
304	19653	44784
305	19677	44628
306	19703	44476
307	19731	44331
308	19762	44193
309	19785	44039
310	19814	43897
311	19839	43748
312	19868	43609
313	19892	43460
314	19914	43306
315	19941	43164
316	19985	43061
317	20013	42922
318	20042	42786
319	20078	42666
320	20107	42531
321	20135	42397
322	20159	42254
323	20184	42112
324	20212	41978
325	20237	41841
326	20263	41704
327	20297	41585
328	20324	41451
329	20362	41342
330	20399	41230
331	20433	41113
332	20467	40995
333	20495	40868
334	20523	40740
335	20548	40607
336	20576	40480
337	20603	40353
338	20629	40225
339	20655	40095
340	20680	39966
341	20705	39837
342	20734	39715
343	20757	39584
344	20787	39466
345	20812	39339
346	20837	39212
347	20861	39086
348	20891	38968
349	20916	38844
350	20942	38722
351	20967	38599
352	20995	38482
353	21020	38359
354	21047	38240
355	21076	38126
356	21100	38004
357	21126	37886
358	21155	37774
359	21185	37663
360	21210	37543
361	21237	37428
362	21264	37315
363	21290	37199
364	21318	37088
365	21357	36996
366	21390	36893
367	21417	36782
368	21451	36683
369	21481	36576
370	21506	36462
371	21536	36356
372	21563	36247
373	21595	36147
374	21624	36041
375	21654	35937
376	21683	35832
377	21706	35717
378	21737	35618
379	21766	35513
380	21793	35407
381	21818	35297
382	21842	35187
383	21871	35085
384	21899	34982
385	21928	34880
386	21960	34784
387	21983	34674
388	22013	34575
389	22035	34466
390	22061	34361
391	22094	34268
392	22122	34168
393	22149	34066
394	22177	33967
395	22203	33865
396	22226	33760
397	22257	33666
398	22286	33569
399	22317	33476
400	22360	33401
401	22392	33310
402	22419	33211
403	22447	33115
404	22478	33024
405	22506	32928
406	22532	32830
407	22560	32734
408	22585	32635
409	22610	32536
410	22638	32442
411	22660	32340
412	22690	32250
413	22716	32154
414	22742	32058
415	22768	31963
416	22795	31869
417	22823	31778
418	22850	31684
419	22879	31595
420	22909	31507
421	22944	31426
422	22983	31351
423	23012	31262
424	23047	31181
425	23080	31099
426	23120	31026
427	23150	30940
428	23184	30858
429	23217	30776
430	23256	30702
431	23280	30609
432	23318	30534
433	23348	30449
434	23379	30366
435	23406	30278
436	23434	30191
437	23462	30104
438	23492	30020
439	23529	29947
440	23560	29864
441	23589	29781
442	23622	29702
443	23647	29613
444	23675	29527
445	23702	29442
446	23731	29358
447	23756	29271
448	23783	29186
449	23811	29102
450	23840	29020
451	23875	28945
452	23904	28864
453	23932	28782
454	23963	28703
